Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-C-C-6355,Miranda House,Delhi,Delhi,75.42,76.75,59.21,82.67,70.96,80.66,2021,1
IR-C-C-6415,Lady Shri Ram College For Women,New Delhi,Delhi,69.44,71.09,14.56,91.4,69.46,90.17,2021,2
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,69.28,66.45,97.77,53.62,46.25,100.0,2021,3
IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,67.41,68.05,46.65,78.3,55.47,80.66,2021,4
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,67.26,77.69,54.97,85.19,28.91,37.47,2021,5
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,67.14,74.48,38.88,81.34,61.09,50.71,2021,6
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,66.96,70.12,93.42,54.59,50.79,61.66,2021,7
IR-C-C-22470,St. Stephens's College,Delhi,Delhi,66.71,76.4,23.23,66.75,64.04,95.84,2021,8
IR-C-C-6377,Hindu College,Delhi,Delhi,66.51,70.04,25.57,78.98,69.25,79.69,2021,9
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,66.39,72.46,2.93,89.76,77.24,68.06,2021,10
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,66.24,76.42,51.39,73.09,62.84,34.11,2021,11
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,66.17,78.38,49.99,77.19,64.95,15.29,2021,12
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,64.9,75.86,52.12,67.16,61.54,38.0,2021,13
IR-C-C-6425,Hans Raj College,Delhi,Delhi,64.65,67.94,28.64,78.43,72.0,63.71,2021,14
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Rahara,West Bengal,64.45,76.11,28.58,94.91,27.54,32.33,2021,15
IR-C-C-6429,Gargi College,Delhi,Delhi,64.37,77.3,19.07,82.26,67.34,32.93,2021,16
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,64.3,78.06,40.51,69.29,66.96,29.82,2021,17
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,63.9,71.5,52.27,59.45,53.51,72.46,2021,18
IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,62.93,65.2,40.07,70.32,51.94,80.66,2021,19
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,62.85,80.49,31.1,70.82,57.83,25.04,2021,20
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,62.5,76.03,31.84,80.7,28.41,43.0,2021,21
IR-C-C-16178,P. D. Patel Institute of Applied Sciences,Changa,Gujarat,61.19,69.48,85.09,61.4,50.3,2.56,2021,22
IR-C-C-36513,Thiagarajar College,Madurai,Tamil Nadu,60.61,66.45,67.8,64.64,53.35,23.56,2021,23
IR-C-C-27608,Lady Irwin College,Delhi,Delhi,60.11,71.33,33.19,69.77,59.28,32.33,2021,24
IR-C-C-43671,"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,59.58,75.09,31.83,70.63,56.68,14.37,2021,25
IR-C-C-6367,Daulat Ram College,Delhi,Delhi,59.22,68.46,8.28,82.73,70.0,29.17,2021,26
IR-C-C-41126,Sri Krishna Arts and Science College,Coimbatore,Tamil Nadu,59.09,70.14,6.92,85.83,62.52,22.81,2021,27
IR-C-C-35860,"St. Joseph's College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,59.09,66.72,47.17,64.61,46.08,45.73,2021,27
IR-C-C-6432,Dyal Singh College,New Delhi,Delhi,58.98,75.38,26.52,70.81,60.02,11.47,2021,29
IR-C-C-43964,Madras School of Social Work,Chennai,Tamil Nadu,58.59,70.7,1.75,89.2,63.14,14.37,2021,30
IR-C-C-11691,Rajagiri College of Social Sciences,Ernakulam,Kerala,58.23,78.61,9.79,74.49,53.63,13.42,2021,31
IR-C-C-6387,Bhaskaracharya College of Applied Sciences,New Delhi,Delhi,58.0,77.9,38.74,58.52,50.58,13.42,2021,32
IR-C-C-6417,Kamala Nehru College,Delhi,Delhi,57.68,72.9,8.34,78.19,65.69,11.47,2021,33
IR-C-C-25376,Andhra Loyola College,Vijayawada,Andhra Pradesh,57.47,63.18,41.77,67.36,52.35,38.53,2021,34
IR-C-C-6391,Maitreyi College,New Delhi,Delhi,57.33,75.13,20.63,67.94,64.58,7.25,2021,35
IR-C-C-41106,Kongunadu Arts & Science College,Coimbatore,Tamil Nadu,57.3,61.06,55.98,67.28,52.97,23.56,2021,36
IR-C-C-6426,Shaheed Rajguru College of Applied Sciences for Women,Delhi,Delhi,57.17,73.47,25.34,68.14,69.39,0.0,2021,37
IR-C-C-29454,I. C. College of Home Science,Hisar,Haryana,57.15,76.76,0.27,83.22,56.04,0.0,2021,38
IR-C-C-6353,Sri Guru Tegh Bahadur Khalsa College,Delhi,Delhi,56.86,74.3,44.02,55.92,61.82,3.78,2021,39
IR-C-C-43946,Women`s Christian College,Chennai,Tamil Nadu,56.18,64.67,24.29,77.4,48.92,24.31,2021,40
IR-C-C-6420,Jesus & Mary College,New Delhi,Delhi,56.15,67.33,3.08,78.97,60.37,29.82,2021,41
IR-C-C-41035,Government Arts College,Coimbatore,Tamil Nadu,56.05,73.98,30.23,54.54,48.23,34.69,2021,42
IR-C-C-35825,Bishop Heber College,Tiruchirappalli,Tamil Nadu,55.97,58.5,47.77,61.47,49.65,50.71,2021,43
IR-C-C-43767,"Mar Ivanios College, Thiruvananthapuram",Thiruvananthapuram,Kerala,55.64,58.49,57.11,67.18,54.46,14.37,2021,44
IR-C-C-11582,"St. Teresa's College, Ernakulam",Ernakulam,Kerala,55.63,70.98,14.41,73.91,55.49,10.45,2021,45
IR-C-C-43705,"Government College for Women, Thiruvananthapuram",Thiruvananthapuram,Kerala,55.62,73.83,11.17,69.26,57.64,13.42,2021,46
IR-C-C-36502,Virudhunagar Hindu Nadars Senthikumara Nadar College,Virudhunagar,Tamil Nadu,55.49,64.78,62.89,58.24,47.62,8.34,2021,47
IR-C-I-1293,Sri Ramakrishna Mission Vidyalaya College of Arts and Science,Coimbatore,Tamil Nadu,55.16,61.54,88.14,56.82,10.67,20.45,2021,48
IR-C-C-35787,"Holy Cross College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,55.09,65.34,16.09,73.35,54.76,27.15,2021,49
IR-C-C-6502,Kanchi Mamunivar Centre for Post Graduate Studies,Puducherry,Pondicherry,55.01,70.63,24.66,71.63,46.51,4.97,2021,50
IR-C-C-43902,Ethiraj College for Women,Chennai,Tamil Nadu,54.77,65.79,6.91,68.98,53.53,48.29,2021,51
IR-C-C-6412,Maharaja Agrasen College,Delhi,Delhi,54.76,76.52,17.93,57.7,63.13,7.25,2021,52
IR-C-C-6431,Ramanujan College,New Delhi,Delhi,54.68,63.0,8.79,84.27,64.75,6.13,2021,53
IR-C-C-41157,V.O. Chidambaram College,Tuticorin,Tamil Nadu,54.61,75.1,16.55,65.59,56.9,0.0,2021,54
IR-C-N-6,Queen Mary`s College,Chennai,Tamil Nadu,54.58,64.96,18.55,72.98,53.03,22.81,2021,55
IR-C-C-41189,"Scott Christian College, Nagercoil",Nagercoil,Tamil Nadu,54.48,73.83,24.03,60.33,51.15,11.47,2021,56
IR-C-C-5855,St. Xavier's College,Ahmedabad,Gujarat,54.4,52.88,55.08,67.57,53.84,27.15,2021,57
IR-C-C-43931,Stella Maris College For Women,Chennai,Tamil Nadu,54.27,59.92,13.86,65.91,60.48,56.88,2021,58
IR-C-C-41054,Dr. N. G. P. Arts and Science College,Coimbatore,Tamil Nadu,54.15,61.87,19.79,75.9,55.67,18.8,2021,59
IR-C-C-6409,Deshbandhu College,New Delhi,Delhi,53.99,74.29,25.75,54.39,54.74,13.42,2021,60
IR-C-C-18938,"Government Institute of Science, Nagpur",Nagpur,Maharashtra,53.93,74.55,11.06,64.84,49.86,12.46,2021,61
IR-C-C-20729,"M S Ramaiah College of Arts, Science, and Commerce",Bengaluru,Karnataka,53.88,52.72,6.49,74.15,59.19,73.61,2021,62
IR-C-C-11708,Sacred Heart College,Ernakulam,Kerala,53.63,68.08,18.69,72.53,50.93,3.78,2021,63
IR-C-C-8169,"St. Thomas College, Thrissur",Thrissur,Kerala,53.61,68.27,17.05,71.68,55.56,2.56,2021,64
IR-C-C-35832,"Jamal Mohamed College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,53.55,68.49,34.56,56.4,51.57,17.08,2021,65
IR-C-C-36579,Ayya Nadar Janaki Ammal College,Sivakasi,Tamil Nadu,53.42,62.47,29.98,64.65,49.16,28.51,2021,66
IR-C-C-41173,St. Xavier's College,Palayamkottai,Tamil Nadu,53.22,67.39,44.34,49.95,52.45,18.8,2021,67
