Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-N-C-7254,Manipal College of Dental Sciences,Udupi,Karnataka,81.3,78.02,86.31,77.02,77.15,88.85,2021,1
IR-N-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,80.72,78.35,82.06,90.62,57.55,87.22,2021,2
IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,78.33,84.46,82.21,74.94,67.36,66.03,2021,3
IR-N-C-28507,Maulana Azad Institute of Dental Sciences,Delhi,Delhi,77.57,91.09,58.62,84.14,58.18,100.0,2021,4
IR-N-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,71.78,86.29,57.15,80.31,66.67,60.1,2021,5
IR-N-C-19320,A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,70.95,77.95,44.7,85.7,72.75,97.48,2021,6
IR-N-C-7240,"Manipal College of Dental Sciences, Mangalore",Mangalore,Karnataka,70.33,74.61,60.73,81.39,74.38,60.1,2021,7
IR-N-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,64.33,74.43,40.7,84.97,59.28,68.7,2021,8
IR-N-N-238,SDM College of Dental Sciences & Hospital,Dharwad,Karnataka,63.69,71.36,33.94,93.3,63.16,71.22,2021,9
IR-N-N-352,SRM Dental College,Chennai,Tamil Nadu,63.57,68.87,48.49,96.32,56.38,34.56,2021,10
IR-N-N-153,Nair Hospital Dental College,Mumbai,Maharashtra,62.73,68.82,46.75,86.64,50.36,56.79,2021,11
IR-N-C-35008,JSS Dental College and Hospital,Mysuru,Karnataka,62.19,73.12,31.73,81.11,71.54,73.59,2021,12
IR-N-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.44,67.46,30.54,87.77,76.17,68.7,2021,13
IR-N-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,61.14,79.7,30.37,91.5,63.55,34.56,2021,14
IR-N-U-0724,M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,61.06,74.22,34.2,89.6,61.33,44.91,2021,15
IR-N-C-30756,Postgraduate Institute of Dental Sciences,Rohtak,Haryana,60.61,83.71,40.56,69.48,49.38,44.91,2021,16
IR-N-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,60.56,74.46,44.16,71.65,66.25,40.05,2021,17
IR-N-C-40193,Bapuji Dental College & Hospital,Davangere,Karnataka,59.06,70.7,31.21,78.52,61.89,66.03,2021,18
IR-N-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,58.38,70.91,41.02,73.8,55.52,44.91,2021,19
IR-N-U-0108,Jamia Millia Islamia,New Delhi,Delhi,58.32,74.65,33.84,58.47,72.22,68.7,2021,20
IR-N-C-8528,Yenepoya Dental College,Mangaluru,Karnataka,57.69,77.85,24.41,76.83,67.22,49.26,2021,21
IR-N-N-91,Sree Balaji Dental College & Hospital,Chennai,Tamil Nadu,56.57,76.94,16.93,85.06,57.21,56.79,2021,22
IR-N-N-342,Vishnu Dental College,West Godavari,Andhra Pradesh,54.55,70.71,21.31,71.2,55.87,71.22,2021,23
IR-N-U-0465,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,54.37,70.19,36.06,64.8,55.23,40.05,2021,24
IR-N-N-71,"Faculty of Dental Sciences, Institute of Medical Sciences",Varanasi,Uttar Pradesh,53.23,64.21,18.25,74.1,63.17,73.59,2021,25
IR-N-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,52.85,73.26,22.93,77.67,50.05,34.56,2021,26
IR-N-C-49744,Saraswati Dental College & Hospital,Lucknow,Uttar Pradesh,52.37,70.77,19.42,91.21,58.96,11.66,2021,27
