Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-L-U-0238,National Law School of India University,Bengaluru,Karnataka,78.06,78.19,55.62,83.92,74.74,100.0,2021,1
IR-L-U-0111,National Law University,New Delhi,Delhi,74.55,87.68,42.81,73.02,74.16,73.82,2021,2
IR-L-N-18,NALSAR University of Law,Hyderabad,Telangana,72.39,82.73,47.6,71.6,72.6,70.01,2021,3
IR-L-U-0585,The West Bengal National University of Juridicial Sciences,Kolkata,West Bengal,71.24,75.74,31.89,86.36,71.94,73.82,2021,4
IR-L-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.09,77.7,77.46,70.12,69.73,38.85,2021,5
IR-L-U-0134,Gujarat National Law University,Gandhinagar,Gujarat,65.18,73.56,42.27,69.07,68.4,53.0,2021,6
IR-L-U-0108,Jamia Millia Islamia,New Delhi,Delhi,64.67,70.55,34.99,73.52,72.29,55.9,2021,7
IR-L-U-0414,"National Law University, Jodhpur",Jodhpur,Rajasthan,63.41,75.28,29.82,74.02,64.42,38.85,2021,8
IR-L-C-19328,Symbiosis Law School,Pune,Maharashtra,61.49,73.61,18.82,63.89,76.74,55.9,2021,9
IR-L-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,57.28,78.4,26.53,54.3,74.08,9.52,2021,10
IR-L-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,55.96,55.23,23.67,90.06,48.72,29.44,2021,11
IR-L-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,55.92,59.68,32.56,72.96,50.39,38.85,2021,12
IR-L-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,55.19,70.38,45.02,51.48,56.89,17.26,2021,13
IR-L-U-0285,"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,52.89,59.21,25.95,62.01,59.28,38.85,2021,14
IR-L-U-0511,Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,51.44,59.53,2.6,74.08,48.34,38.85,2021,15
IR-L-U-0386,"The Rajiv Gandhi National University of Law, Patiala",Patiala,Punjab,50.98,56.13,27.41,50.38,71.78,46.52,2021,16
IR-L-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,50.4,56.44,34.37,59.69,53.58,23.79,2021,17
IR-L-U-0358,National Law University,Cuttack,Odisha,50.31,60.72,13.12,49.79,60.05,55.9,2021,18
IR-L-U-0217,Christ University,Bengaluru,Karnataka,49.78,50.33,29.62,52.91,63.9,55.9,2021,19
