Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-D-N-15,All India Institute of Medical Sciences,New Delhi,Delhi,92.07,89.94,97.16,93.5,72.36,100.0,2021,1
IR-D-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,82.62,83.23,86.31,88.27,64.4,76.73,2021,2
IR-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,75.33,85.48,51.55,94.12,62.43,91.63,2021,3
IR-D-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",Bangalore,Karnataka,73.62,85.47,62.17,79.91,66.44,67.12,2021,4
IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,72.45,86.22,57.9,88.19,60.36,55.43,2021,5
IR-D-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,69.25,77.82,53.22,87.03,74.47,50.67,2021,6
IR-D-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,67.62,73.35,57.84,84.13,64.98,49.27,2021,7
IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,67.42,74.63,41.18,88.57,68.14,81.59,2021,8
IR-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,64.67,76.68,48.87,86.28,51.66,45.82,2021,9
IR-D-C-7242,"Kasturba Medical College, Manipal",Manipal,Karnataka,63.6,70.54,41.91,79.04,72.64,68.04,2021,10
IR-D-U-0266,Sree Chitra Tirunal Institute for Medical Sciences and Technology,Thiruvananthapuram,Kerala,63.04,74.66,43.36,79.2,63.72,54.19,2021,11
IR-D-U-0106,Institute of Liver and Biliary Sciences,New Delhi,Delhi,61.29,89.45,36.8,69.96,59.55,34.67,2021,12
IR-D-C-40453,St. John's Medical College,Bengaluru,Karnataka,60.83,75.51,35.97,80.2,66.22,47.33,2021,13
IR-D-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,58.92,71.45,29.87,82.45,68.71,51.58,2021,14
IR-D-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.1,70.49,44.24,79.57,58.31,19.41,2021,15
IR-D-C-49008,"Madras Medical College & Government General Hospital, Chennai",Chennai,Tamil Nadu,57.88,75.61,17.41,87.95,48.39,75.49,2021,16
IR-D-C-6414,Maulana Azad Medical College,Delhi,Delhi,56.35,72.28,25.27,83.06,55.08,49.74,2021,17
IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,56.2,78.22,27.53,82.46,62.44,17.42,2021,18
IR-D-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,55.96,73.48,28.23,76.95,68.65,31.89,2021,19
IR-D-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,55.74,72.19,34.12,70.72,60.37,36.64,2021,20
IR-D-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,54.13,72.33,32.36,71.36,65.07,19.41,2021,21
IR-D-C-22461,Lady Hardinge Medical College,New Delhi,Delhi,54.07,76.27,22.42,75.87,49.83,43.16,2021,22
IR-D-C-7251,"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,53.75,71.31,23.06,73.68,71.72,35.34,2021,23
IR-D-C-35009,"JSS Medical College, Mysore",Mysore,Karnataka,53.63,69.16,19.74,77.3,68.72,46.33,2021,24
IR-D-U-0107,Jamia Hamdard,New Delhi,Delhi,53.18,68.65,40.99,54.28,69.44,24.85,2021,25
IR-D-C-29255,Dayanand Medical College,Ludhiana,Punjab,53.13,79.52,16.52,82.15,54.76,24.0,2021,26
IR-D-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,52.91,69.61,39.82,59.5,66.53,15.33,2021,27
IR-D-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,52.87,74.31,33.58,61.61,61.4,20.37,2021,28
IR-D-C-29442,Government Medical College & Hospital,Chandigarh,Chandigarh,51.9,69.66,23.4,77.0,59.33,26.52,2021,29
IR-D-I-1409,University College of Medical Sciences,Delhi,Delhi,51.89,59.53,34.42,75.71,59.96,25.7,2021,30
IR-D-U-0688,All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,51.87,70.63,22.33,64.3,65.41,45.82,2021,31
IR-D-C-16424,Medical College,Kolkata,West Bengal,51.69,67.74,15.27,86.66,42.96,51.58,2021,32
IR-D-C-45515,PSG Institute of Medical Sciences & Research,Coimbatore,Tamil Nadu,51.62,73.22,10.01,73.93,62.4,56.24,2021,33
IR-D-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,51.52,73.5,19.76,74.77,72.82,13.14,2021,34
IR-D-U-0168,Maharishi Markandeshwar,Ambala,Haryana,50.96,71.08,19.32,76.23,62.76,23.12,2021,35
IR-D-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,50.36,71.23,20.6,67.0,70.11,24.0,2021,36
IR-D-C-40345,M. S. Ramaiah Medical College,Bengaluru,Karnataka,50.05,75.28,12.1,72.6,59.88,33.3,2021,37
IR-D-N-17,Sawai Man Singh Medical College,Jaipur,Rajasthan,49.65,71.0,15.42,89.37,50.1,8.37,2021,38
IR-D-N-0158,SCB Medical College and Hospital,Cuttack,Odisha,49.42,67.9,13.79,88.68,44.37,27.33,2021,39
IR-D-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,49.13,63.99,23.07,75.92,50.24,28.13,2021,40
IR-D-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,48.07,72.46,9.82,76.19,69.43,12.0,2021,41
IR-D-U-0311,Krishna Institute of Medical Sciences Deemed University,Karad,Maharashtra,47.11,70.99,21.79,58.84,62.95,12.0,2021,42
