Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.76,85.61,92.51,86.32,63.57,97.13,2021,1
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.67,79.13,91.48,78.23,58.39,100.0,2021,2
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,82.52,83.52,87.81,80.86,57.48,91.96,2021,3
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,81.75,84.02,84.46,75.07,67.97,93.89,2021,4
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,76.5,80.5,75.23,80.74,56.97,79.3,2021,5
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,75.62,74.25,76.23,83.23,55.35,82.92,2021,6
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.4,76.68,68.37,83.16,65.31,47.28,2021,7
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.26,73.75,66.25,81.26,62.95,47.04,2021,8
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,66.61,71.19,44.96,95.07,73.36,54.12,2021,9
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.1,64.5,45.0,100.0,53.13,49.38,2021,10
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.45,66.2,43.92,91.72,60.98,39.68,2021,11
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.87,64.23,54.33,71.35,65.54,34.8,2021,12
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,59.54,66.44,43.43,86.67,72.35,20.25,2021,13
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,58.93,51.7,51.72,87.77,50.16,53.3,2021,14
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,58.91,67.68,48.17,76.05,65.25,24.18,2021,15
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,58.53,61.4,52.64,67.51,58.59,49.61,2021,16
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,57.67,69.59,40.74,77.44,58.72,32.13,2021,17
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.38,69.06,40.86,80.06,56.93,27.0,2021,18
IR-O-U-0120,University of Delhi,Delhi,Delhi,56.03,42.65,54.23,82.66,59.6,44.81,2021,19
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,55.83,62.95,42.77,86.96,50.92,16.41,2021,20
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,55.39,48.43,56.83,69.94,59.38,38.8,2021,21
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,55.38,61.79,47.45,74.17,53.21,24.6,2021,22
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,54.97,52.39,44.58,71.79,63.34,51.82,2021,23
IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,54.47,67.24,45.58,59.31,58.75,28.91,2021,24
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,54.42,51.91,43.09,73.11,51.35,61.72,2021,25
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.88,48.18,56.64,71.16,55.15,27.0,2021,26
