Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-P-U-0107,Jamia Hamdard,New Delhi,Delhi,78.52,75.03,82.33,82.36,57.63,90.75,2021,1
IR-P-U-0078,Panjab University,Chandigarh,Chandigarh,77.99,76.44,80.63,77.42,73.07,80.78,2021,2
IR-P-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,75.57,90.02,61.69,81.75,70.71,66.33,2021,3
IR-P-U-0380,National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,74.52,77.38,61.47,81.56,65.54,100.0,2021,4
IR-P-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,74.18,80.79,66.1,84.0,52.33,80.78,2021,5
IR-P-I-1077,National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad,Telangana,74.08,79.55,58.82,89.96,71.06,74.72,2021,6
IR-P-C-35006,JSS College of Pharmacy,Ooty,Tamil Nadu,68.99,83.34,33.64,90.34,73.91,84.38,2021,7
IR-P-C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",Udupi,Karnataka,67.65,75.73,50.2,74.53,67.9,81.71,2021,8
IR-P-C-35007,JSS College of Pharmacy,Mysore,Karnataka,65.18,78.93,30.3,89.7,66.85,77.86,2021,9
IR-P-N-14,National Institute of Pharmaceutical Education and Research Ahmedabad,Gandhinagar,Gujarat,63.3,73.18,51.41,73.85,65.41,46.25,2021,10
IR-P-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,61.48,73.61,61.77,57.72,59.54,33.82,2021,11
IR-P-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.21,68.19,57.78,68.21,77.63,20.25,2021,12
IR-P-N-26,National Institute of Pharmaceutical Education and Research Raebareli,Lucknow,Uttar Pradesh,60.33,86.81,36.87,63.82,63.0,41.71,2021,13
IR-P-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,59.99,80.16,43.19,76.17,61.49,16.03,2021,14
IR-P-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,58.39,67.92,52.18,69.42,50.86,33.82,2021,15
IR-P-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,57.86,72.47,48.32,71.64,36.35,36.62,2021,16
IR-P-C-35430,"Poona College of Pharmacy, Pune",Pune,Maharashtra,55.97,70.91,29.91,73.26,54.99,55.81,2021,17
IR-P-U-0383,"Punjabi University, Patiala",Patiala,Punjab,55.74,61.26,46.44,68.14,42.2,55.81,2021,18
IR-P-I-1073,National Institute of Pharmaceutical Education and Research Guwahati,Guwahati,Assam,55.73,67.16,31.6,74.58,57.7,54.07,2021,19
IR-P-U-0146,Nirma University,Ahmedabad,Gujarat,55.06,64.13,42.21,72.53,52.68,33.82,2021,20
IR-P-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,54.82,67.44,34.67,70.81,52.0,48.34,2021,21
