Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.67,79.13,91.48,78.23,58.39,100.0,2021,1
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.99,71.19,44.96,95.07,73.36,67.88,2021,2
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.02,64.5,45.0,100.0,53.13,58.57,2021,3
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,62.06,66.2,43.92,91.72,60.98,45.77,2021,4
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.23,64.23,54.33,71.35,65.54,48.36,2021,5
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,60.74,66.44,43.43,86.67,72.35,32.17,2021,6
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,60.58,67.68,48.17,76.05,65.25,40.93,2021,7
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,60.33,51.7,51.72,87.77,50.16,67.31,2021,8
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,59.71,69.59,40.74,77.44,58.72,52.49,2021,9
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.97,69.06,40.86,80.06,56.93,42.9,2021,10
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.34,62.95,42.77,86.96,50.92,41.49,2021,11
IR-O-U-0120,University of Delhi,Delhi,Delhi,57.09,42.65,54.23,82.66,59.6,55.37,2021,12
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,56.63,48.43,56.83,69.94,59.38,51.16,2021,13
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,56.44,61.79,47.45,74.17,53.21,35.22,2021,14
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,56.1,50.05,55.82,75.96,46.07,45.43,2021,15
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,54.97,51.91,43.09,73.11,51.35,67.2,2021,16
IR-O-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,54.74,55.81,43.13,72.05,59.5,46.97,2021,17
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,53.24,68.64,36.45,65.98,50.79,34.35,2021,18
IR-O-U-0235,Mysore University,Mysuru,Karnataka,52.68,68.77,18.79,90.54,54.24,28.8,2021,19
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,52.34,63.89,29.92,71.34,65.89,33.3,2021,20
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,52.06,62.4,27.78,70.0,78.43,31.74,2021,21
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,51.83,58.58,38.28,66.3,57.78,37.34,2021,22
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,51.59,48.88,40.86,71.57,53.49,50.12,2021,23
IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,51.1,55.04,25.59,85.84,54.46,42.86,2021,24
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,50.9,48.98,43.27,67.55,64.66,32.53,2021,25
IR-O-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,50.65,50.44,42.26,67.3,56.35,37.52,2021,26
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,50.52,64.77,19.93,89.11,51.53,21.44,2021,27
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,50.46,61.35,31.82,66.43,53.88,38.17,2021,28
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,50.36,61.78,34.28,64.91,65.99,19.52,2021,29
IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,49.98,49.93,39.07,68.47,58.6,37.34,2021,30
IR-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,49.3,59.27,34.73,68.77,52.55,20.97,2021,31
IR-O-U-0027,Osmania University,Hyderabad,Telangana,49.16,52.04,28.16,79.86,51.62,39.67,2021,32
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,49.09,58.71,27.32,67.45,51.68,46.34,2021,33
IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,48.79,63.04,19.39,66.7,70.04,37.19,2021,34
IR-O-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,48.57,54.19,14.23,83.55,75.99,37.34,2021,35
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,48.57,58.89,30.78,64.62,55.99,31.52,2021,35
IR-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,48.37,61.2,12.32,77.33,72.28,36.09,2021,37
IR-O-U-0329,Symbiosis International,Pune,Maharashtra,48.22,61.83,18.5,64.52,72.16,40.04,2021,38
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,48.21,64.39,27.23,62.97,57.57,23.67,2021,39
IR-O-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.17,54.06,34.0,64.82,64.68,23.23,2021,40
